BTPBH,Paro
AO,San Antonio do Zaire = Soyo
AOSTC,Santa Clara
AOVHC,Saurimo
AOSBT,Saxi Batuque FPSO
AOSTL,Sazaire Terminal
AOSZA,Soyo
AOSOQ,Soyo-Quinfuquena Terminal
AONDD,Sumbe
AOTAK,Takula Terminal
AOUGO,Uíge
AOVNA,Viana
AOCEO,Waku Kungo
AOXGN,Xangongo
LOCODE,Name
BOACH,Achacachi
BOACL,Achocalla
BOAQL,Aiquile
BOALC,Alcalá
BOANC,Ancoraimes
BOAPB,Apolo
BOARC,Arica
BOASC,Ascensión
BOAUC,Aucapata
BOABA,Avaroa
BOAYT,Ayata
BOAYO,Ayo Ayo
BOAZY,Azurduy
BOBAT,Batallas
BOBVL,Baures
BOBEF,Bella Flor
BOBJO,Bermejo
BOBPB,Bolpebra
BOCJT,Cajuata
BOCAO,Calacoto
BOCCO,Calacoto
BOCCM,Calacoto
BOCAL,Calamarca
BOCMR,Camargo
BOCAM,Camiri
BOCNO,Cañada Oruro
BOCAQ,Caquiaviri
BOCRN,Caranavi
BOCAI,Carapari
BOCAR,Carrasco
BOCTC,Catacora
BOCHR,Chacarilla
BOCHA,Charaña
BOCHU,Chulumani
BOCHM,Chuma
BOCIJ,Cobija
BOCBB,Cochabamba
BOCLL,Collana
BOCLN,Collpani
BOCOL,Collpani
BOCLQ,Colquencha
BOCME,Comanche
BOCOM,Combaya
BOCEP,Concepción
BOCPB,Copacabana
BOCRP,Coripata
BOCCR,Coro Coro
BOCOR,Coroico
BOCUL,Culpina
BOCUR,Curva
BODES,Desaguadero
BOALT,El Alto
BOENT,Entre Ríos
BOESC,Escoma
BOEXA,Exaltación
BOFIL,Filadelfia
BOGUA,Guanay
BOGUQ,Guaqui
BOGYA,Guayaramerín
BOHIT,Hito Cajones
BOBVK,Huacaraje
BOHUA,Huacaya
BOHUR,Huarina
BOHTJ,Huatajata
BOHMT,Humaitá
BOHUM,Humanata
BOICH,Ichoca
BOINQ,Inquisivi
BOIRU,Irupana
BOIXM,Ixiamas
BOJMC,Jesús de Machaca
BOASN,La Asunta
BOLPB,La Paz
BOLAJ,Laja
BOLOR,Loreto
BOLUR,Luribay
BOMCH,Macharetí
BOMGD,Magdalena
BOMLL,Malla
BOMAP,Mapiri
BOMEC,Mecapaca
BOMOC,Moco Moco
BOMOJ,Mojocoya
BOMHW,Monteagudo
BONES,Nueva Esperanza
BOOBS,Obrajes
BOORU,Oruro
BOPDC,Padcaya
BOPAD,Padilla
BOPAL,Palca
BOPPM,Papel Pampa
BOPAT,Patacamaya
BOPEL,Pelechuco
