BTPBH,Paro
USXSC,"San Carlos, Maricopa"
USXMO,San Clemente
USSD2,San Diego
USSAN,San Diego
USSDA,San Dimas
USNLP,San Felipe
USSFR,San Fernando
USSFO,San Francisco
USSG7,San Gabriel
USSGG,San Gabriel
USGE2,San Geronimo
USGG5,San Gregorio
USJNO,San Jacinto
USJOQ,San Joaquin
USANJ,San Joaquin River
USS8J,San Jon
USSJC,San Jose
USS2J,San Jose
USWSJ,San Juan
USJSZ,San Juan
USZFX,San Juan Bautista
USSAJ,San Juan Capistrano
USJPB,San Juan Pueblo
USSNH,San Leandro
US7DN,San Leon
USYSZ,San Lorenzo
USZXZ,San Lucas
USSLI,San Luis
USSLU,San Luis
USCSL,San Luis Obispo
US2SM,San Manuel
USSMC,San Marcos
USSNM,San Marcos
USSMD,San Marino
USSXJ,San Martin
USSXF,San Mateo
USSYL,San Miguel
USSAK,San Pablo
USSPQ,San Pedro
USQT2,San Quentin
USSRF,San Rafael
USSJB,San Ramon
USZSS,San Saba
USZVP,San Tan Valley
USYGC,San Ygnacio
USYSO,San Ysidro
USSYO,San Ysidro
USNBQ,Sanborn
USZOJ,Sanborn
USSZ2,Sanbornton
USSV2,Sanbornville
USSDC,Sand City
USDCE,Sand Coulee
USS24,Sand Fork
USSD7,Sand Hills
USQDK,Sand Lake
USSDP,Sand Point
USSDQ,Sand Springs
USDHK,Sanders
USDSA,Sanderson
USSDI,Sanderson
USSNV,Sandersville
US3SF,Sandford
USDIP,Sandia Park
US6SD,Sandisfield
USBMH,Sandoval
USS8A,Sandown
USNDP,Sandpoint
USZDS,Sands Point
USSAX,Sandston
USZNS,Sandstone
USSDW,Sandusky
USSKY,"Sandusky, Erie"
USSWH,Sandwich
USSWC,Sandwich
USSJD,Sandy
USSJE,Sandy
USSY3,Sandy Creek
USSO8,Sandy Hook
USYHO,Sandy Hook
USAYL,Sandy Lake
USSYP,Sandy Point
USIW9,Sandy Ridge
USKSR,Sandy River
USS3R,Sandy Run
USYZR,Sandy Spring
USAYP,Sandy Springs
USYSG,Sandy Springs
USDV7,Sandy Valley
USFU7,Sanford
USS3F,Sanford
USS9F,Sanford
USSCF,Sanford
USSF6,Sanford
USSFB,Sanford
USSFM,Sanford
USSGJ,Sanger
USSRK,Sanger
USS9A,Sangerfield
US9SV,Sangerville
USSBP,Sanibel
USNXJ,Santa
USSNA,Santa Ana
USXZB,Santa Ana Pueblo
USNNX,Santa Anna
USSBA,Santa Barbara
USSCZ,Santa Clara
USSKR,Santa Clara
USTCM,Santa Clara
USSAM,Santa Clarita
USSC6,Santa Claus
USSRU,Santa Cruz
USTQA,Santa Elena
USSAF,Santa Fe
USFEZ,Santa Fe
USUYR,Santa Fe Springs
USSMG,Santa Margarita
USSMX,Santa Maria
USSMO,Santa Monica
USSZP,Santa Paula
USAOA,Santa Rosa
USSTS,Santa Rosa
USZRS,Santa Rosa
USJQJ,Santa Rosa Beach
USRO2,Santa Rosa Island
USSXT,Santa Teresa
USSQA,Santa Ynez
USSY9,Santa Ysabel
USIUQ,Santaquin
USSXD,Santee
USSA6,Santee
USP8P,Santo
USS7P,Sapphire
USAPU,Sapulpa
USSFQ,Saraland
USSRN,Saranac
USSLK,Saranac Lake
USZOR,Sarasota
USSRQ,Sarasota-Bradenton Apt
USXMQ,Saratoga
USSAA,Saratoga
USSRB,Saratoga
USS6T,Saratoga Springs
USSGA,Saratoga Springs
USXX5,Sarcoxie
USAII,Sardinia
USS2D,Sardinia
USSSR,Sardis
USAEP,Sarepta
USWSF,Sarichef
USS4Y,Sarita
USSAO,Sarles
USA98,Sarona
USSL4,Sartell
USSJ9,Sarver
USSAQ,Sasabe
USSAH,Sasser
USS9T,Satanta
USLTB,Satellite Beach
USSY5,Saticoy
USZOP,Satsop
US2S2,Satsuma
USS2R,Saucier
USSUV,Saugerties
USSAU,Sauget
USUGU,Saugus
USUGX,Saugus
USSC2,Sauk Centre
USSC3,Sauk City
USSRA,Sauk Rapids
USSXL,Sauk Village
USVVV,Saukville
USSSM,Sault Sainte Marie
USZUN,Saunderstown
USJMC,Sausalito
US9SN,Sautee Nacoochee
USSGE,Savage
USVGE,Savage
USXLY,Savage
USSNQ,Savanna
USXMX,Savannah
USTSA,Savannah
USSAV,Savannah
USSA8,Savannah
USSH8,Savannah
USVEJ,Saverton
USS6Y,Savery
USSVA,Savoonga
US6SV,Savoy
USOYT,Savoy
USSYG,Savoy
USXYZ,Sawmills
USSWR,Sawyer
USYXS,Sawyer
USZFF,Sawyer
USS5A,Saxapahaw
USXVL,Saxeville
USSB2,Saxonburg
USAX2,Saxton
USSB4,Saybrook
USSYK,Saybrook
USAYV,Saylesville
USYGB,Saylorsburg
USYNY,Sayner
USAYJ,Sayre
USSY2,Sayre
USXNA,Sayreville
USSYS,Sayville
USQJZ,Scales Mound
USZVN,Scammon
USSCM,Scammon Bay
USSC9,Scanlon
USSCA,Scappoose
USSZX,Scarborough
USSCG,Scarsdale
USSFT,Schaefferstown
USGHK,Schaghticoke
USSCX,Schaller
USJMH,Schaumburg
USSCH,Schenectady
USNVU,Schenevus
USSCP,Schenley
USSVL,Schererville
USSRT,Schertz
USSID,Schiller Park
USHSW,Schleswig
USSK5,Schnecksville
USSKN,Schodack Landing
USSFW,Schofield
USSR8,Schoharie
USSZC,Scholls
USOLC,Schoolcraft
USS9C,Schriever
USSBW,Schulenburg
USSE6,Schuyler
USSHJ,Schuyler
USSV3,Schuylerville
USSKL,Schuylkill
USH7A,Schuylkill Haven
USSKU,Schuylkill Haven
USS77,Schwenksville
USHL9,Science Hill
USS44,Scio
US2SV,Sciotoville
USIJC,Scipio Center
USSCU,Scituate
USSCO,Scobey
USSCW,Scobeyville
USXLQ,Scofield
USM8S,Scooba
USSPJ,Scotch Plains
USSIA,Scotia
USSOA,Scotia
USSO2,Scotland
US9SD,Scotland
USSCD,Scotland Neck
USXOT,Scott
USZKO,Scott
USSB3,Scott Air Force Base
USSCQ,Scott City
USZSN,Scott City
USDZQ,Scott Depot
USS7M,Scott Mills
USTW6,Scott Township
USSZE,Scottdale
USSZD,Scottdale
USXOS,Scotts
USS4H,Scotts Hill
USSV4,Scotts Valley
USBFF,Scottsbluff
USSQB,Scottsboro
USOZG,Scottsburg
USSSZ,Scottsburg
USSTZ,Scottsdale
USOTV,Scottsville
USSCV,Scottsville
USSZF,Scottsville
USTTS,Scottsville
USSCN,Scottville
USDCN,Scranton
USSCR,Scranton
USRRA,Scranton
USS53,Scranton
USSCB,Scribner
US7OL,Sea Cliff
USGXI,Sea Girt
USQSI,Sea Island
USSK8,Seabeck
USS7B,Seaboard
USEBK,Seabrook
USEQQ,Seabrook
USSBJ,Seabrook
USSEO,Seabrook
USXLR,Seadrift
USSFE,Seaford
USQSF,Seaford
USSVI,Seagoville
USSGK,Seagraves
USEOV,Seagrove
USSYB,Seal Bay
USSLH,Seal Beach
US9VE,Seal Cove
USZRK,Seal Rock
USAQE,Seale
USSLY,Sealy
USSRC,Searcy
USSL5,Searles
USS3S,Sears
USJUR,Searsburg
USSM4,Searsmont
USSRP,Searsport
USXLU,Seaside
USYSE,Seaside
USSH2,Seaside Heights
USSEZ,Seatac
USSEA,Seattle
USS6E,Seaview
US8SB,Sebago
USYKQ,Sebago Lake
USSZG,Sebastian
USXNB,Sebastian
USSYD,Sebastopol
USXLO,Sebastopol
USSWB,Sebewaing
USYSB,Sebree
USSEB,Sebring
USSEF,Sebring
USSC4,Secane
USUYK,Secaucus
USOZQ,Secor
USS4E,Section
USZSY,Security
USDMO,Sedalia
USS3D,Sedalia
USSE4,Sedan
USS2Y,Sedley
USSDX,Sedona
USSW2,Sedro Woolley
USSWK,Seekonk
USSY4,Seeley
USEFF,Seffner
USSQU,Seguin
USO8K,Seiling
USSEC,Seiple
USEHW,Selah
USWLK,Selawik
USSEL,Selby
USYVD,Selbyville
USEXL,Selden
USSOV,Seldovia
USS66,Seligman
USSEG,Selinsgrove
USSKI,Selkirk
USSEU,Sellersburg
USXVI,Sellersville
USOSM,Selma
USSES,Selma
USSQC,Selma
USSQD,Selma
USSQZ,Selma
USXZY,Selma
USSQE,Selmer
USEIY,Seminary
USSOE,Seminole
USSXO,Seminole
USZMD,Seminole
USSE5,Seminole
USEME,Semmes
USNCZ,Semora
USXAH,Senath
USSEN,Senatobia
USUYP,Seneca
USXMI,Seneca
USZYC,Seneca
USSNE,Seneca
USS7C,Seneca
USEEC,Seneca
USSQW,Seneca
USSFS,Seneca Falls
USXMJ,Senecaville
USSN2,Senoia
USSQF,Sepulveda
USSQ5,Sequatchie
USSQV,Sequim
USTSQ,Sequin
USKSS,Serena
USSGB,Sergeant Bluff
USKQ3,Sesser
USSV9,Seven Fields
USEVP,Seven Points
USQ6Z,Seven Springs
USKVV,Seven Valleys
USS7V,Severance
USSEV,Severn
USSVJ,Severn
USSVN,Severn
USSNR,Severna Park
USSXR,Sevier
USSVU,Sevierville
USZVL,Seville
USUOS,Sewanee
USNSR,Seward
USQSR,Seward
USSWD,Seward
USSWN,Sewaren
USYSW,Sewell
USS5T,Sewell's Point
USEWC,Sewickley
USEOU,Seymour
USEYU,Seymour
USSEJ,Seymour
USSER,Seymour
USSET,Seymour
USSYW,Seymour
USSZK,Seymour
USS97,Shackelefords
USS5F,Shacklefords
USDGP,Shade Gap
USAD2,"Shadeland, Tippecanoe"
USSZJ,Shady Dale
USDYG,Shady Grove
USIYP,Shady Point
USRYS,Shady Spring
USSHY,Shadyside
USSF7,Shafer
USMIT,Shafter
USSH3,"Shafter, Kern"
USS2H,Shaftsbury
USSHX,Shageluk
USXSK,Shaker Heights
USSKE,Shakopee
USSKK,Shaktoolik
USSR4,Shalimar
USSLX,Shallotte
USS9H,Shallowater
USYSH,Shamokin
USSH4,Shamong
USSR5,"Shamrock, Wheeler"
USDOZ,Shandon
USJHD,Shandon
USNRI,Shangri-la
USAZK,Shannock
USS7N,Shannon
USSHO,Shannon
USSZN,Shannon
USS2N,Shannon
US8IG,Shapleigh
USSN3,Sharon
USSHQ,Sharon
USSHM,Sharon
USISH,Sharon
USS7H,Sharon
USCXZ,Sharon Center
USSHL,Sharon Hill
USSHS,Sharon Springs
USXMA,Sharonville
USS22,Sharpes
US3SG,Sharpsburg
USRPB,Sharpsburg
USS7G,Sharpsburg
USI9H,Sharpsville
USSJS,Sharpsville
USSL8,Shartlesville
US4SC,Shasta
USS9K,Shasta Lake
USSUK,Shattuck
US2SL,Shaver Lake
USS9V,Shavertown
USJXS,Shaw
USZFH,Shaw Air Force Base
USSWS,Shawano
USUSM,Shawmut
USSNL,Shawnee
USSHC,Shawnee
USSM2,Shawnee Mission
US8SD,Shawnee on Delaware
USSBM,Sheboygan
USSBF,Sheboygan Falls
USYSD,Shedd
USSMU,Sheep Mountain
US6FL,Sheffield
US7SE,Sheffield
USHEI,Sheffield
USQSH,Sheffield
USS5D,Sheffield
USSED,Sheffield
USSHF,Sheffield
USSL9,Sheffield Lake
USHFG,Sheffield Village
USSB8,Shelburne
USHFS,Shelburne Falls
USSBX,Shelby
USW7W,Shelby
USSDL,Shelby
USSBI,Shelby
USNE5,Shelby
USISY,Shelby
USINH,Shelby
USSEY,Shelby
USSN8,Shelby Township
USQYV,Shelbyville
USSYH,Shelbyville
USSYI,Shelbyville
USSVZ,Shelbyville
USSBV,Shelbyville
USIYE,Shelbyville
USSQG,Shelbyville
US7SH,Sheldon
USSEI,Sheldon
USSQP,Sheldon
USXMB,Sheldon
USZ4X,Sheldon
USSXP,Sheldon Point
USSQK,Sheldon Springs
USVSV,Sheldonville
USEOB,Shell Knob
USHL8,Shell Lake
USSR2,Shell Rock
USSHZ,Shelley
USXMC,Shellman
USS8H,Shelocta
USXSI,Shelter Island
USHDH,Shelter Island Heights
USJLT,Shelton
USSHN,Shelton
USSQR,Shelton
USSYA,Shemya
USSZH,Shenandoah
USUYS,Shenandoah
USSDH,Shenandoah
USDOH,Shenandoah
USSJ8,Shenandoah Junction
USEFH,Shepherd
USHHD,Shepherd
USHPE,Shepherd
US8ST,Shepherdstown
USSQN,Shepherdsville
USXSX,Sheppard
US9SP,Sheppton
USZSO,Sherborn
USSRR,Sherburne
USSDV,Sheridan
USSJX,Sheridan
USSJG,Sheridan
USSRD,Sheridan
USSD9,Sheridan
US5SD,Sheridan
USSIW,Sheridan
USSHR,Sheridan
USDZZ,Sherman
USSHP,Sherman
USSZM,Sherman
USXMP,Sherman
USSJJ,Sherman Oaks
USPNX,Sherman-Denison
USSML,Shermans Dale
USSJK,Sherrard
USRL8,Sherrill
USRRI,Sherrill
USS2F,Sherrills Ford
USS3W,Sherwood
USSHW,Sherwood
USSJU,Sherwood
USSR7,Sherwood
USYRW,Sherwood
USSVB,Shickshinny
USIDK,Shidler
USILH,Shiloh
USOYJ,Shiloh
USVVO,Shiloh
USINR,Shiner
USXSH,Shingle Springs
USS3O,Shingletown
USSKF,Shinnston
USSBQ,Ship Bottom
USIPX,Ship Island
USSSG,Shippensburg
USYNV,Shippenville
USZHP,Shippingport
USS2P,Shipshewana
USSVF,Shiremanstown
USSJR,Shirley
USWSH,Shirley
USSB6,Shirleysburg
USSHH,Shishmaref
USIVE,Shively
USHCB,Shoal Cove
USYHZ,Shoals
USKVM,Shoemakersville
USH78,Shohola
USXSA,Shokan
USRC5,Shoreacres
USSRH,Shoreham
USXLZ,Shoreham
USSRI,Shoreline
USSHB,Shoreview
USSW3,Shorewood
USSJV,Shorewood
USS9W,Shorewood
USDO9,Shorewood
USXSY,Short Hills
USEOH,Shorter
USTRV,Shorterville
USSS8,Shortsville
USHQS,Shoshone
USOHZ,Shoshone
USGL5,Shoshone County
USSN4,Shoshoni
USSOW,Show Low
USSIH,Showell
USSKO,Showhegan
USOHS,Shreve
USSHV,Shreveport
USQSY,Shrewsbury
USQZY,Shrewsbury
USSHU,Shrewsbury
USEZY,Shrewsbury
USS5L,Shroon
USSHK,Shrub Oak
USSUB,Shubuta
USHJB,Shullsburg
USUWX,Shumway
USSHG,Shungnak
USHQK,Shuqualak
USUY9,Shutesbury
USPS4,Siberia
USIBZ,Sibley
USZSL,Sibley
USS5B,Sibley
USIYD,Sicily Island
USSV5,Sicklerville
USSD3,Sidell
USS4N,Sidman
USIJY,Sidney
USS23,Sidney
USS7I,Sidney
USSDN,Sidney
USSDY,Sidney
USSNY,Sidney
USSXY,Sidney
USIDM,Sidon
USIEB,Sierra Blanca
USSIM,Sierra Madre
USAZS,Sierra Vista
USSI7,Sierra Vista
USFHU,Sierra Vista-Fort Huachuca Apt
US83W,Sigel
USSII,Signal Hill
USS3M,Signal Mountain
USQGU,Sigourney
USSU9,Sigurd
USSIK,Sikeston
USSIR,Siler City
USSLG,Siloam Springs
USXLP,Silsbee
USS8I,Silt
USZVA,Silva
USSIB,Silver Bay
US555,Silver Beach
USSEW,Silver Bow
USSVC,Silver City
USSZI,Silver City
USHQ6,Silver Creek
USSXV,Silver Creek
USZII,Silver Creek
USVKY,Silver Grove
USIXL,Silver Lake
US9KS,Silver Lake
USILK,Silver Lake
USIVP,Silver Peak
USJVP,Silver Plume
USSIS,Silver Spring
USS4S,Silver Springs
USSIE,Silver Springs
USSVR,Silver Springs
USITK,Silver Star
USSI3,Silverado
USS4D,Silverdale
USSIF,Silverdale
USS5V,Silverstreet
USSO5,Silverthorne
USIER,Silverton
USXVN,Silverton
USVET,Silverton
USILJ,Silverton
USILV,Silvis
USSIU,Simi Valley
USSM8,Simonton
USSI9,Simpson
USUKJ,Simpson
USSIJ,Simpsonville
USSRY,Simpsonville
USIMC,Sims
USSIO,Simsboro
USSZU,Simsbury
USSC7,Sinclair
USIGR,Singer
USSIN,Singer Island
USSKS,Sinking Spring
US2SI,Sinton
USSNT,Sioux Center
USSUX,Sioux City
USFSD,Sioux Falls
USXAF,Sioux Rapids
USIRE,Siren
USSS2,Sisseton
USISV,Sissonville
US8IS,Sister Bay
USYER,Sisters
USIST,Sistersville
USSIT,Sitka
USSKJ,Sitkinak Island
USSI4,Six Mile
USSXM,Sixela
USKSX,Sixes
USSGY,Skagway
USKNE,Skaneateles
USKAF,Skaneateles Falls
USTKQ,Skiatook
US7SK,Skidmore
USSQM,Skillman
USSP3,Skippack
USSKP,Skippers
USSOK,Skokie
USSH5,Skowhegan
USKVQ,Skull Valley
USKUE,Skull Valley
USSKW,Skwentna
USS5K,Skykomish
USUYZ,Skyland
USSVK,Slate Hill
USZTD,Slatedale
USAI9,Slater
USSQX,Slater
USSVM,Slater
USXSL,Slater
USSLV,Slatersville
USRI8,Slaterville
USSVP,Slatington
USXME,Slaton
USUHT,Slaughter
USG9H,Slaughter Beach
USSY8,Slayton
USFLQ,Sledge
USSI2,Sledge Island
USSYE,Sleepy Eye
USSO3,Sleepy Hollow
USSH9,Sleepy Hollow Manor
USSLQ,Sleetmute
USUYN,Slidell
USIGE,Slinger
USZXS,Slingerlands
USSVT,Slippery Rock
USNN6,Sloan
USOTB,Sloatsburg
USUXM,Slocum
USSK4,Smackover
US8PT,Small Point
USRQA,Smarr
USSDB,Smartt
USYSV,Smelterville
USTTH,Smethport
US8YK,Smith
US9SC,Smith Center
USSCJ,Smith Cove
USIXR,Smith River
USS9I,Smithfield
USSDE,Smithfield
USSF3,Smithfield
USSFZ,Smithfield
USSM5,Smithfield
USSMF,Smithfield
USSMT,Smithfield
USUYV,Smithfield
USFTU,Smithfield
USZSM,Smiths
USSDF,Smiths Creek
USSK6,Smiths Grove
USJHG,Smithsburg
USTQQ,Smithton
USITN,Smithton
UST9A,Smithton
USSTY,Smithtown
USSKH,Smithville
USSMI,Smithville
USXT8,Smithville
USYSM,Smithville
USS2V,"Smithville, Bastrop"
USQSM,"Smithville, Ritchie"
USIHV,"Smithville, Wayne"
USQSQ,Smock
USKTW,Smoketown
USYSK,Smokey Point
USO7T,Smoot
USMQY,Smyrna
USNYY,Smyrna
USS7Y,Smyrna
USSDK,Smyrna
USSMY,Smyrna
USSDD,Snead
USQSD,Sneads
USSKD,Sneads Ferry
USSQY,Sneedville
USSEE,Snellville
USSNI,Snohomish
USNQA,Snoqualmie
USA3Q,Snoqualmie Pass
USV8S,Snover
USNSW,Snow Hill
USXSW,Snow Hill
USYWV,Snow Shoe
US4SN,Snowbird
USSFL,Snowflake
USSM6,Snowmass
USSWM,Snowmass Village
USSN5,Snowshoe
USSSN,Snyder
USNYD,Snyder
USNYR,Snyder
USSNK,Snyder
USSE3,Soap Lake
USOCR,Social Circle
USSXS,Society Hill
USONM,Socorro
USXSR,Socorro
USKQP,Soda Springs
USYSS,Soda Springs
US2SD,Soddy Daisy
USXML,Soddy-Daisy
USSOB,Sodus
USUYO,Sodus
USSOD,Sodus Point
USSZB,Solana Beach
USJDG,Soldiers Grove
USSXQ,Soldotna
USZOL,Soledad
USSOL,Solomon
USSZO,Solomon
USOMU,Solomons
USSI5,Solon
USSO6,Solon
USSOO,Solon
USOLG,Solvang
USOVA,Solvay
USL4W,Solway
USSMV,Somerdale
USTSF,Somers
USOJS,Somers
USOFP,Somers
USS5P,Somers Point
US6ST,Somerset
USOMP,Somerset
USOMT,Somerset
USS73,Somerset
USSME,Somerset
USSOJ,Somerset
USSOZ,Somerset
USSS3,Somerset
USSZR,Somerset
USOFV,Somersville
USSSX,Somersworth
USSN7,Somerton
USOMV,Somerville
USQSV,Somerville
USSOM,Somerville
USUZB,Somerville
USILX,Somerville
USSSJ,Somis
USSM7,Somonauk
USQNI,Sonoita
USSOY,Sonoma
US7TS,Sonora
USKTY,Sonora
USSOR,Sonora
USQS3,Soperton
USSAZ,Sophia
USS9O,Sophia
USSQQ,Soquel
US9SO,Sorrento
USOET,Sorrento
USRRN,Sorrento
USS9R,Sorrento
USSOT,Souderton
USA9B,South Abington
USS6A,South Albany
USZZM,South Amboy
USJSB,South Attleboro
USS9B,South Baltimore
USSB5,South Barre
USUHB,South Barrington
USSOF,South Bay
USBS6,South Beach
USSBL,South Beloit
USACJ,South Bend
USS3B,South Bend
USSBN,South Bend
USZYW,South Berwick
USHH4,South Bethlehem
USTBM,South Boardman
USSBC,South Boston
USSOG,South Boston
USS8B,South Bristol
USXLN,South Brunswick
USQSB,South Burlington
USCQ2,South Canaan
USOUL,South Charleston
USSCT,South Charleston
USOUS,South Chicago Heights
USODT,South Dartmouth
USSOI,South Dayton
US8DA,South Daytona
USDDF,South Deerfield
USUHS,South Dennis
USQSN,South Easton
USSDM,South El Monte
USSE2,South Elgin
USS3C,South Euclid
USQPZ,South Fallsburg
USSF4,South Fork
USOUG,South Gate
USSGC,South Gate
USYSY,South Glastonbury
USJGF,South Glens Falls
USSOQ,South Grafton
USHKS,South Hackensack/New Jersey
USSYM,South Hadley
USZYX,South Hamilton
USZJX,South Hampton
USUYT,South Haven
USSOH,South Haven
USH77,South Haven
USUHA,South Heart
US7HE,South Hero
USSDO,South Hill
USSUI,South Holland
USHQU,South Houston
USHHS,South Hutchinson
US3SJ,South Jamesport
USSDR,South Johnson City
USXSJ,South Jordan
USSK2,South Kearny
USSK7,South Kent
USS7K,South Kingstown
USTVL,South Lake Tahoe
USS6H,South Lebanon
USSDT,South Lee
USTDY,South Londonderry
USS6L,South Lyon
USXMF,South Miami
USMR8,South Milford
USAA9,South Mills
USMK6,South Milwaukee
USWSN,South Naknek
USS88,South Natick
USSON,South Norwalk
US2OG,South Ogden
USTHX,South Orange
USOZN,South Ozone Park
USPXD,South Padre Island
USSSA,South Paris
USS98,South Park
USSSD,South Pasadena
USSSQ,South Pierce
USSWU,South Pittsburg
USSFD,South Plainfield
USN7Y,South Plymouth
USSPH,South Point
USSOX,South Portland
USS3P,South Prairie
USSSP,South Range
USSST,South River
USSSE,South River
USSR3,South Rockwood
USRXS,South Roxana
USYLN,South Royalton
USSPT,South Saint Paul
USTDQ,South Salem
USS8K,South Salt Lake
USSYF,South San Francisco
USSSH,South Shore
USSSO,South Sioux City
USS8S,South Solon
USS2S,South Sumter
US9SA,South Thomaston
USUT3,South Tucson
USYSU,South Union
USSV8,South Vienna
USOUW,South Wales
USQSW,South Walpole
USOHJ,South Wayne
USWWB,South Webster
USS5W,South Wellfleet
USSW4,South West City
USNZW,South Weymouth
USQHW,South Whitley
USIOH,South Willamsport
USSWX,South Windham
USUWH,South Windham
USXZR,South Windsor
USXMM,South Windsor
USOUY,South Yarmouth
USSSK,Southampton
USTN6,Southampton
USZFJ,Southampton
USSJL,Southampton
USSSF,Southard
USSVQ,Southaven
USSZV,Southborough
USTHD,Southbridge
USSBU,Southbury
USSOP,Southern Pines
USSFJ,Southfield
USSFX,Southfield
USTFS,Southfields
USSFA,Southgate
USOUH,Southgate
USHH7,Southhaven
USSNG,Southington
USZLE,Southlake
USOUX,Southold
USP8R,Southport
USSP4,Southport
USUTP,Southport
USXMK,Southport
USUIK,Southside
USXMR,Southwark
USW8S,Southwest Harbor
USSW8,Southwest Pass
US9SW,Southwest Ranches
USSZW,Southwick
USSWY,Spanaway
USISG,Spangle
USSFU,Spanish Fork
USIFO,Spanish Fort
USZUS,Spanish Springs
USSRM,Sparks
USKP3,Sparks
USSPK,Sparks
USSPM,Sparks
USFKG,Sparks Glencoe
USSVW,Sparrevohn
USPWU,Sparrow Bush
USPPO,Sparrows Point
USAA5,Sparta
USCMY,Sparta
USSAR,Sparta
USSPX,Sparta
USSQH,Sparta
USSZA,Sparta
USZSR,Sparta
USSPA,Spartanburg
USSPB,Spartansburg
USSPF,Spearfish
USOPM,Spearman
USKRI,Spearville
USQSP,Speed
USS8W,Speedway
US7BA,Speedwell
US9SL,Spelter
USSNX,Spenard
USSPC,Spencer
USSPW,Spencer
USWVP,Spencer
USSPR,Spencer
USSPP,Spencer
USSC8,Spencer
USRWQ,Spencer
USQXC,Spencer
USECR,Spencer
USSNZ,Spencer
USSP6,Spencerport
USECE,Spencerville
USS9P,Spencerville
USEHY,Sperry
US2SP,Sperryville
USICE,Spiceland
US8SP,Spicer
USSKV,Spicewood
USSK9,Spickard
USLX8,Spillville
USSEQ,Spindale
USPL8,Spirit Lake
USRTL,Spirit Lake
USSUS,Spirit of Saint Louis Apt/Saint Louis
USSZ3,Spiritwood
USSD8,Splendora
USPFZ,Spofford
USGEG,Spokane
USPKV,Spokane Valley
USSPO,Spooner
USSAW,Spotswood
USXXO,Spotsylvania
USSP9,Spraggs
USZZQ,Sprague
USS89,Spragueville
USABS,Spring
USNGA,Spring Arbor
USSB7,Spring Branch
USIQI,Spring City
USSGD,Spring City
USUYL,Spring City
USIGC,Spring Creek
USQSG,Spring Green
USPVM,Spring Grove
USS3G,Spring Grove
USSG3,Spring Grove
USZSG,Spring Grove
USRGI,Spring Hill
USSHI,Spring Hill
USIR3,Spring Hill
USSRO,Spring Hope
USSFH,Spring House
USSL3,Spring Lake
USSX7,Spring Lake
USZPL,Spring Lake
USRLH,Spring Lake Park
USP7M,Spring Mills
USSOS,Spring Park
USGTX,Spring Valley
USJVJ,Spring Valley
USSPN,Spring Valley
USVYW,Spring Valley
USSPV,"Spring Valley, Rockland"
USPGY,"Spring Valley, San Diego"
USSQO,Springboro
US3SP,Springdale
USSPD,Springdale
USSPZ,Springdale
USSRL,Springdale
USAZV,Springerville
USS8P,Springfield
USVSF,Springfield
USSRG,Springfield
USSPY,Springfield
USSPI,Springfield
USSPG,Springfield
USSNF,Springfield
USSGH,Springfield
USSGF,Springfield
USSFY,Springfield
USSFI,Springfield
USRNF,Springfield
USNGF,Springfield
USIID,Springfield
USIGI,Springfield
USIEZ,Springfield
USIED,Springfield
USSFK,Springfield
USSFG,Springfield Gardens
USVSJ,"Springfield, Calhoun"
USSIQ,Springhill
USRGK,Springhills
USSGP,Springlake
USSP7,"Springport, Jackson"
USSP8,Springtown
USSG9,Springvale
USSW9,Springview
USIGL,Springville
USSG5,Springville
USSG8,Springville
USSNU,Springville
USSPL,Springville
USXMN,Springville
USXPG,"Springville, Suffolk"
USYSP,Sproul
USUHD,Spruce Head
USS4P,Spruce Pine
USSPU,Spruce Pine
USSU5,Spur
USUEC,Spurger
USSQT,Squaw Valley
USS2M,St. Maries
USP4T,St. Petersburg
USGB8,Staatsburg
USKSY,Stacy
USTVX,Stacyville
USSTD,Stafford
USVSZ,Stafford
USJCU,Stafford
USXTF,Stafford
USSTB,Stafford
USSFC,Stafford Springs
USV3R,Stain George
USSZY,Staley
USTAI,Stallings
US7SF,Stamford
USSDJ,Stamford
USSTF,Stamford
USXLX,Stamford
US9SG,Stamping Ground
USSTM,Stamps
USTNB,Stanberry
US5SC,Standard
USSH6,Standish
USTDH,Standish
USSF5,Stanfield
USSF8,Stanfield
USTFD,Stanfield
USTAN,Stanford
USTNQ,Stanford
USJDV,Stanfordville
USSTN,Stanhope
USST4,Stanley
USSYJ,Stanley
USNYL,Stanley
USEYZ,Stanley
USUZA,Stanley
USS5Y,Stanley
USSZT,Stanleytown
USSR9,Stansbury park
USZJA,Stanton
US7ST,Stanton
USNZK,Stanton
USS8D,Stanton
USSO7,Stanton
USSTI,Stanton
USSTX,Stanton
USSX8,Stanton
USSYN,Stanton
US2SB,Stantonsburg
USTV8,Stantonville
USS4V,Stanville
USQTD,Stanwood
USSNW,Stanwood
USVVK,Staples
USTPN,Stapleton
USVSQ,Stapleton
USTAE,Stapleton
USQSA,Star
USS5R,Star
USYRX,Star
USKTA,Star
US5ST,Star City
US9SB,Starbuck
USXMU,Starke
US7SB,Starksboro
USSXK,Starkville
USRL5,Starlight
USXAR,Starr
USXMT,Startex
USSU2,Startup
USSCE,State College
USTTI,Stateline
USUYU,Staten Island
USTBR,Statesboro
USSVH,Statesville
USZIQ,Statesville
USST3,Statham
USSHD,Staunton
USUNT,Staunton
USSAY,Stayton
USWSB,Steamboat Bay
USSBS,Steamboat Springs
USWBB,Stebbins
USYDM,Stedman
USS5M,Steedman
